fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,rep_tot,rep_ug,rep_gr,mn_rep_tot_bal,mn_rep_undergrad_l,mn_rep_grad_l,md_rep_tot_bal,md_rep_undergrad_l,md_rep_grad_l,rep_tot_bal,rep_undergrad_l,rep_grad_l,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
1970,1,,,175,163,11,1,0,213,194,19,0,1220,890,1190,890,1490,1335,,,1335,1335,1335,2120,1960,2670,5.57,1,2,2,0,1085,1060,1195,885,875,1295,0,0,0,,,,,,,,,,,,,,,0.209694
1971,1,,,303,283,20,4,0,468,427,41,0,1545,1335,1510,1335,1685,1335,,,1780,1780,2225,2670,2670,2670,5.61,1,14,13,2,1105,1070,1265,865,865,1180,15,15,0,,,,,,,,,,,,,,,0.217343
1972,1,,,422,393,29,8,0,733,666,67,0,1740,1335,1695,1335,1785,1335,,,2225,2225,2405,3115,3115,3340,5.7,1,53,49,5,1190,1155,1365,880,875,1255,65,55,5,,,,,,,,,,,,,,,0.224633
1973,1,,,533,494,39,14,0,1000,897,103,0,1875,1335,1815,1335,1945,1335,,,2630,2515,2665,3560,3560,3820,5.74,1,113,103,11,1385,1345,1545,1190,1155,1255,155,140,15,,,,,,,,,,,,,,,0.24199
1974,1,,,647,597,51,21,0,1302,1151,151,0,2010,1500,1930,1335,2105,1500,,,2670,2665,2670,4005,3745,4005,5.87,1,183,167,20,1570,1510,1755,1250,1215,1280,285,255,35,,,,,,,,,,,,,,,0.269745
1975,1,,,770,708,62,30,0,1634,1429,205,0,2120,1660,2020,1515,2225,1780,,,2670,2670,2670,4080,4005,4450,6,1,255,232,30,1715,1640,1920,1305,1290,1320,440,380,55,,,,,,,,,,,,,,,0.287627
1976,1,,,907,829,78,43,0,2021,1741,280,0,2230,1780,2100,1665,2310,1780,,,2810,2670,2795,4450,4005,4450,6.1,1,318,288,39,1835,1750,2020,1410,1320,1540,585,505,80,,,,,,,,,,,,,,,0.302189
1977,1,,,1128,1027,100,61,0,2678,2261,417,0,2375,1780,2200,1780,2585,1980,,,3115,2745,3430,4705,4415,5150,6.14,2,401,363,51,1910,1810,2100,1470,1395,1620,765,660,110,,,,,,,,,,,,,,,0.322139
1978,1,,,1428,1295,133,88,0,3651,3007,644,0,2555,1975,2325,1780,2910,2225,,,3340,3025,4005,5090,4450,6230,6.14,2,506,456,71,2010,1875,2285,1530,1455,1720,1020,855,165,,,,,,,,,,,,,,,0.346492
1979,1,,,2000,1808,192,127,0,5481,4429,1052,0,2740,2225,2450,2135,3300,2225,,,3560,3115,4450,5340,4555,6800,6.03,2,634,570,96,2135,1955,2485,1595,1515,1890,1355,1115,240,,,,,,,,,,,,,,,0.381639
1980,1,,,3016,2723,293,197,0,8810,6997,1813,0,2920,2225,2570,2225,3700,2970,,,4005,3380,4450,5670,4515,8070,5.8,2,807,724,132,2290,2055,2725,1700,1595,1970,1850,1490,360,,,,,,,,,,,,,,,0.42186
1981,1,,,4397,3957,432,287,8,14390,11186,3180,24,3275,2225,2825,2225,4425,4130,2970,2640,4450,4005,5325,6510,5120,8900,5.62,2,1099,983,192,2485,2185,3045,1920,1770,2145,2730,2150,585,,,,,,,,,,,,,,,0.452594
1982,1,,,5354,4822,509,350,23,18700,14385,4246,69,3490,2320,2985,2225,4945,4370,2950,2610,4450,4280,6765,6675,5610,9755,5.56,2,1607,1433,293,2725,2350,3460,2095,1995,2600,4385,3370,1015,,,,,,,,,,,,,,,0.474364
1983,1,,,6382,5739,587,404,56,23321,17821,5332,168,3655,2490,3105,2225,5375,4420,3020,2580,4450,4370,7890,7105,6200,11800,5.49,2,2290,2040,419,3005,2560,3965,2165,2100,3250,6885,5220,1660,,,,,,,,,,,,,,,0.491878
1984,1,,,7583,6815,674,467,95,28448,21596,6557,294,3750,2500,3170,2225,5745,4450,3095,2535,4450,4370,8315,7500,6395,12915,5.41,2,3048,2718,546,3230,2735,4440,2235,2140,3575,9855,7430,2425,,,,,,,,,,,,,,,0.509814
1985,1,,,8919,8025,755,535,142,34034,25744,7839,451,3815,2500,3210,2225,6080,4450,3185,2510,4450,4370,8710,7695,6460,13350,5.31,1,3909,3501,672,3390,2855,4850,2440,2175,3605,13260,10000,3260,,,,,,,,,,,,,,,0.528431
1986,1,,,10193,9190,820,591,185,38847,29402,8861,584,3810,2500,3200,2225,6280,4450,3155,2480,4450,4315,8900,7650,6460,13570,5.21,1,4887,4399,805,3480,2915,5170,2500,2200,3740,16995,12835,4160,,,,,,,,,,,,,,,0.536539
1987,1,,,11411,10304,872,642,238,44112,33201,10157,754,3865,2500,3220,2335,6705,4450,3160,2435,4560,4270,8900,7775,6495,15015,5.11,1,5873,5309,931,3530,2940,5500,2500,2215,3850,20740,15620,5115,70565,0,1,0.33,53874.3,0.25,0.14,0.04,76110,76110,,76110,,,0.556903
1988,1,,,12715,11456,930,693,336,50713,37840,11786,1087,3990,2595,3305,2345,7260,4940,3235,2485,4715,4315,9985,7965,6615,16650,5,1,7024,6397,1045,3565,2960,5845,2500,2290,3890,25035,18925,6110,45925,0,1,0.33,55884.6,0.21,0.12,0.05,57760,57760,,57760,,,0.580705
1989,1,,,13938,12503,986,741,462,57378,42396,13435,1547,4115,2655,3390,2500,7780,5145,3345,2945,4890,4450,10360,8195,6775,18175,4.91,1,8065,7387,1135,3640,3020,6220,2500,2330,3900,29360,22300,7060,41585,0,0.77,0.45,60165,0.24,0.1,0.04,44375,44375,,44375,,,0.60299
1990,1,,,14896,13278,1043,783,595,64113,46624,15415,2074,4305,2690,3510,2625,8445,5500,3485,3045,5075,4585,11500,8675,7120,20425,4.86,1,8942,8220,1216,3770,3115,6665,2605,2475,4000,33705,25605,8100,41585,0,0.77,0.45,60165,0.24,0.1,0.04,44375,44375,,44375,,,0.631967
1991,1,,,15578,13785,1089,811,730,71260,50996,17585,2679,4575,2755,3700,2625,9255,5890,3665,3080,5300,4840,12310,9415,7605,22670,4.85,1,9433,8685,1257,3955,3240,7285,2640,2545,4350,37310,28150,9160,40520,0,0.8,0.46,63572,0.22,0.1,0.04,44375,44375,,44375,,,0.648323
1992,1,,,16036,14077,1123,830,870,78697,55465,19880,3352,4910,2840,3940,2685,10180,6685,3850,3080,5665,5135,14050,10325,8200,24130,4.87,2,9607,8849,1276,4240,3430,8110,2685,2615,4810,40715,30370,10345,40520,0,0.8,0.46,63572,0.22,0.1,0.04,44375,44375,,44375,,,0.665147
1993,1,,,16403,14329,1153,842,960,88795,61907,22855,4032,5415,3200,4320,2835,11455,7500,4200,3105,6330,5500,16035,11520,9235,28285,4.92,2,9628,8864,1284,4650,3720,9175,2805,2690,5255,44780,32995,11785,39475,0,0.81,0.5,62989.6,0.21,0.09,0.04,42910,42910,,42910,,,0.679709
1994,1,,,17060,14843,1213,877,1047,104237,71368,27732,5137,6110,3565,4810,3175,13265,8500,4905,3400,7200,6125,18565,13340,10540,32600,4.94,2,9747,8965,1309,5035,3970,10295,2905,2780,6000,49080,35600,13480,40880,0,0.72,0.56,64370.1,0.2,0.09,0.04,42910,42910,,42910,,,0.694281
1995,1,,,17591,15234,1270,927,1132,121890,81928,33511,6451,6930,3995,5380,3550,15245,9935,5700,3710,8250,6915,20365,15420,11885,37435,4.96,2,9825,9019,1340,5575,4315,11820,3180,2865,6980,54765,38925,15840,44945,0.57,0.58,0.4,57328.6,0.15,0.11,0.04,33895,15970,54830,35145,19955,40250,0.707602
1996,1,,,18278,15783,1326,991,1219,142554,94513,40012,8030,7800,4465,5990,3955,17265,11370,6585,4095,9385,7810,23500,17350,13615,40500,5.01,2,9995,9158,1394,6295,4805,13585,3570,3180,8060,62940,44000,18940,46110,0.59,0.58,0.39,56878.9,0.14,0.11,0.04,34895,16175,55205,35985,22550,44780,0.724261
1997,1,,,18949,16327,1374,1070,1303,164908,108002,47096,9810,8705,5000,6615,4395,19260,12870,7530,4570,10585,8805,26430,19380,15150,46115,5.05,2,10228,9351,1474,7150,5360,15600,3975,3550,9425,73115,50125,22990,46890,0.6,0.58,0.39,57168.4,0.14,0.11,0.04,35555,16515,55495,36640,23620,48050,0.732323
1998,1,,,19946,17202,1432,1207,1378,190717,124251,54818,11648,9560,5260,7225,4685,20775,13000,8455,5055,11625,9750,28535,21575,16630,51475,5.09,2,10794,9860,1615,8605,6350,18760,4605,4120,11025,92905,62600,30305,47900,0.61,0.58,0.39,58104.1,0.14,0.1,0.04,36365,16945,56065,37470,24995,46380,0.738253
1999,1,,,20572,17718,1462,1316,1462,216136,139436,63137,13563,10505,5800,7870,5145,22725,14435,9280,5525,12875,10795,30870,23735,17865,56485,5.13,3,11075,10102,1722,9800,7140,21135,5125,4560,12620,108510,72125,36385,49040,0.62,0.58,0.39,60069.4,0.12,0.09,0.04,37260,17205,56805,38450,26680,45840,0.753413
2000,1,,,21073,18103,1486,1416,1560,240339,153308,71350,15681,11405,6270,8470,5525,24590,15650,10055,6020,13970,11650,33470,25855,19155,59320,5.17,3,11270,10263,1820,10930,7870,23305,5735,5010,14070,123160,80750,42410,50195,0.63,0.58,0.39,60347.5,0.12,0.09,0.04,38275,17665,57575,39425,28785,45265,0.77168
2001,1,,,21673,18600,1505,1524,1651,265906,168349,79807,17751,12270,6755,9050,6000,26345,16750,10750,6485,14825,12485,35605,27890,20365,62315,5.19,3,11478,10454,1901,12085,8605,25650,6355,5500,15460,138720,89960,48760,51230,0.63,0.58,0.39,60323.9,0.12,0.09,0.04,38970,18030,58230,40160,30770,44340,0.779909
2002,1,,,22604,19386,1548,1688,1767,294357,185024,89121,20212,13025,7115,9545,6310,27540,17150,11440,6830,15610,13245,36810,29660,21460,64960,5.2,3,11803,10764,2007,13115,9250,27515,6855,5920,16450,154770,99560,55210,52155,0.64,0.58,0.39,60413.9,0.12,0.09,0.04,39600,18390,58790,40735,33130,44260,0.796383
2003,1,,,23857,20434,1606,1899,1931,328213,204154,100079,23981,13755,7495,9990,6635,28550,17990,12420,7080,16430,13865,37390,31580,22405,66990,5.19,3,12283,11235,2134,14040,9810,29170,7250,6285,17400,172475,110230,62240,52600,0.63,0.58,0.39,60381.6,0.12,0.09,0.04,39670,18575,58865,40745,34885,44710,0.811654
2004,1,,,25297,21643,1669,2121,2122,368340,226037,113223,29079,14560,7935,10445,6855,29870,18750,13705,7640,17305,14415,38420,33770,23385,69020,5.16,3,12929,11856,2302,15000,10365,30850,7700,6655,18605,193910,122905,71005,52960,0.63,0.58,0.39,60378.7,0.12,0.09,0.04,39705,18695,59000,40710,36735,44460,0.834702
2005,1,,,26756,22862,1708,2375,2350,411200,250542,128463,32195,15370,8385,10960,7225,31465,19920,13700,7790,18265,15055,40880,35960,24595,72280,5.12,3,13817,12694,2542,16115,10975,32780,8355,7070,20125,222630,139290,83340,53260,0.63,0.59,0.39,60351.9,0.12,0.09,0.04,39745,18660,59045,40725,38065,44110,0.858669
2006,1,,,28108,24106,1738,2642,2459,460577,278335,145196,37047,16385,8940,11545,7745,33150,21755,15065,8605,19525,15880,43470,38495,25955,75530,5.09,3,14812,13642,2803,17195,11615,34345,9095,7615,21855,254725,158435,96290,53465,0.64,0.59,0.39,60337.2,0.12,0.09,0.04,39710,18520,59020,40645,39410,43580,0.876992
2007,1,,,29490,25337,1810,2904,2561,515125,307486,165669,41970,17470,9540,12135,8240,35140,23240,16390,9335,20700,16585,46335,41225,27290,80525,5.04,3,15649,14453,2991,18020,12185,35420,9685,8095,23035,282035,176100,105940,53615,0.64,0.59,0.39,60325,0.13,0.09,0.04,39575,18410,58910,40440,40600,42950,0.906824
2008,1,,,31106,26771,1911,3167,2665,577490,341865,189211,46412,18565,10280,12770,8840,37260,24660,17420,9860,21790,17165,48990,43730,28540,86290,4.99,3,16628,15375,3219,18815,12670,36680,10150,8495,24125,312875,194800,118075,53795,0.64,0.59,0.4,60328,0.13,0.09,0.04,39325,18250,58800,40110,41475,42550,0.910217
2009,1,,,33491,28846,2059,3475,2858,656717,388562,216811,51291,19610,10880,13470,9560,39180,25685,17945,10030,22860,18150,50860,45765,29940,91995,4.9,3,18044,16689,3538,19580,13070,38190,10490,8805,25135,353280,218150,135130,53895,0.63,0.59,0.4,60325.7,0.13,0.09,0.04,38790,17975,58640,39455,42370,41220,0.929017
2010,1,,,35960,30974,2197,3789,3109,745656,440911,247183,57438,20735,11520,14235,9970,41295,26805,18475,10170,24230,19290,52890,48125,31670,97745,4.8,3,19577,18128,3860,20510,13610,40115,10850,9255,26095,401565,246705,154860,53550,0.63,0.59,0.4,60288.9,0.13,0.09,0.04,37980,17590,58125,38525,43080,39190,0.941916
