fy,full_sample,sel_index,typen,active_borrowers,active_undergrad_bor,active_grad_bor,active_parplus_bor,tot_vol,undergrad_loans,grad_loans,parplus_loans,mn_tot_vol,md_tot_vol,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,mn_duration_borrowing,md_duration_borrowing,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
1970,1,,,203,190,13,0,242,222,21,0,1195,890,1170,890,1445,1335,,,5.27,1,,,,,,,,,,,,,,,0.209694
1971,1,,,228,212,16,0,288,263,25,0,1260,1115,1240,1070,1420,1335,,,5.66,1,,,,,,,,,,,,,,,0.217343
1972,1,,,230,211,19,0,304,276,28,0,1320,1335,1305,1335,1395,1335,,,6.13,2,,,,,,,,,,,,,,,0.224633
1973,1,,,226,203,23,0,320,280,40,0,1415,1335,1380,1335,1645,1335,,,6.45,2,,,,,,,,,,,,,,,0.24199
1974,1,,,240,214,26,0,377,324,53,0,1570,1335,1515,1335,1830,1370,,,6.78,3,,,,,,,,,,,,,,,0.269745
1975,1,,,265,234,31,0,435,371,64,0,1640,1335,1585,1335,1875,1780,,,6.84,3,,,,,,,,,,,,,,,0.287627
1976,1,,,313,271,42,0,525,435,90,0,1680,1335,1605,1335,1905,1780,,,6.74,3,,,,,,,,,,,,,,,0.302189
1977,1,,,421,365,55,0,804,647,156,0,1910,1700,1770,1425,2465,2225,,,6.72,3,,,,,,,,,,,,,,,0.322139
1978,1,,,557,479,78,0,1154,898,256,0,2070,1780,1875,1780,2850,2225,,,6.6,3,,,,,,,,,,,,,,,0.346492
1979,1,,,924,800,125,0,2071,1619,452,0,2240,2225,2025,1960,3175,2670,,,6.21,2,,,,,,,,,,,,,,,0.381639
1980,1,,,1581,1375,206,0,3653,2824,829,0,2310,2225,2055,2225,3465,3740,,,5.83,2,,,,,,,,,,,,,,,0.42186
1981,1,,,2441,2091,342,8,6080,4587,1469,25,2490,2225,2195,2225,4015,4450,2985,2640,5.7,2,,,,,,,,,,,,,,,0.452594
1982,1,,,2086,1784,285,18,4924,3686,1189,49,2360,2225,2065,2225,4000,4450,2765,2640,5.91,3,,,,,,,,,,,,,,,0.474364
1983,1,,,2321,1979,303,39,5601,4172,1319,109,2415,2225,2110,2225,4195,4450,2760,2640,5.92,3,,,,,,,,,,,,,,,0.491878
1984,1,,,2600,2213,333,55,6331,4700,1483,148,2435,2225,2125,2225,4295,4450,2695,2640,5.83,3,,,,,,,,,,,,,,,0.509814
1985,1,,,2908,2489,348,71,7144,5346,1605,193,2455,2225,2150,2225,4445,4450,2715,2640,5.65,3,,,,,,,,,,,,,,,0.528431
1986,1,,,2844,2452,318,73,6825,5186,1446,192,2400,2225,2115,2225,4390,4450,2625,2640,5.5,2,,,,,,,,,,,,,,,0.536539
1987,1,,,2885,2494,305,88,7712,5707,1748,258,2675,2225,2290,2225,5505,4450,2920,2640,5.4,3,,,,,,,,,,,,,,,0.556903
1988,1,,,3087,2628,321,140,9269,6758,2070,440,3000,2335,2570,2335,6190,6675,3135,3520,5.31,3,,,,,,,,,,,,,,,0.580705
1989,1,,,3121,2604,329,191,9877,7024,2246,608,3165,2335,2700,2335,6585,6675,3185,3520,5.31,3,,,,,,,,,,,,,,,0.60299
1990,1,,,3082,2504,356,226,10687,7174,2777,736,3465,2625,2865,2625,7525,7500,3255,3520,5.52,3,,,,,,,,,,,,,,,0.631967
1991,1,,,3228,2574,392,266,11852,7754,3213,885,3670,2625,3010,2625,7870,7500,3330,3520,5.66,3,,,,,,,,,,,,,,,0.648323
1992,1,,,3413,2685,425,308,13014,8389,3572,1053,3815,2625,3125,2625,8110,7500,3415,3520,5.77,3,,,,,,,,,,,,,,,0.665147
1993,1,,,3579,2871,447,265,15851,10237,4479,1134,4430,3475,3565,2625,9670,7500,4285,4000,5.89,4,,,,,,,,,,,,,,,0.679709
1994,1,,,4081,3279,531,274,21498,13586,6317,1596,5270,3640,4145,3500,11355,9250,5825,4000,6,4,,,,,,,,,,,,,,,0.694281
1995,1,,,4198,3357,549,294,23331,14561,6928,1842,5560,4000,4335,3500,12015,10500,6270,5000,6.03,4,44920,0.57,0.58,0.4,57242.3,0.15,0.11,0.04,33875,15950,54825,35090,19965,39920,0.707602
1996,1,,,4563,3633,594,338,26216,16170,7779,2267,5745,4250,4450,3500,12545,11500,6705,5100,6.1,4,47400,0.61,0.58,0.38,56790.3,0.14,0.11,0.04,36360,16480,56065,37775,22465,50080,0.724261
1997,1,,,4832,3836,626,372,28983,17628,8693,2661,6000,4500,4595,3500,13285,12000,7155,5645,6.17,4,49280,0.64,0.58,0.37,57604.5,0.13,0.11,0.04,38660,17060,57060,40270,23215,52000,0.732323
1998,1,,,4956,3912,646,401,29973,17933,9057,2983,6045,4560,4585,3500,13445,12260,7435,5990,6.2,4,51685,0.68,0.58,0.36,58932.2,0.13,0.1,0.04,41390,17825,58265,43065,24940,48270,0.738253
1999,1,,,4951,3897,647,411,30466,17842,9471,3154,6155,4605,4580,3500,14105,12970,7675,6000,6.21,4,53635,0.69,0.58,0.37,60557.6,0.12,0.09,0.04,43205,18095,59350,44980,27530,48825,0.753413
2000,1,,,5162,4044,673,449,33286,19234,10419,3633,6450,5000,4755,3665,14900,13900,8095,6470,6.19,4,55580,0.7,0.58,0.37,60863.1,0.11,0.09,0.04,45090,18945,60800,46760,31195,47585,0.77168
2001,1,,,5366,4192,710,469,35238,20152,11066,4019,6565,5180,4810,3805,15055,14440,8570,7000,6.19,4,57150,0.71,0.58,0.37,61017.3,0.12,0.09,0.04,45970,19550,61715,47625,33655,48970,0.779909
2002,1,,,5839,4539,796,509,39728,22303,12754,4670,6805,5325,4915,4000,15495,15230,9175,7495,6.18,4,58255,0.7,0.58,0.38,61194.6,0.12,0.09,0.04,46630,20260,62550,47925,37250,48335,0.796383
2003,1,,,6448,4959,909,586,45610,25127,14709,5774,7075,5500,5065,4375,15650,15830,9855,8000,6.17,4,58135,0.69,0.59,0.38,61047.5,0.12,0.09,0.04,45725,20080,62190,46795,38905,50155,0.811654
2004,1,,,7030,5369,1000,670,51594,27795,16559,7240,7340,5500,5175,4625,16075,16720,10810,8865,6.07,4,58010,0.68,0.6,0.38,61014,0.12,0.09,0.04,45195,20095,62005,45825,40825,48155,0.834702
2005,1,,,7397,5632,1063,710,55615,29571,17858,8187,7520,5500,5250,4825,16335,17250,11530,9500,6.03,4,58150,0.68,0.6,0.38,61061,0.12,0.09,0.04,45025,19995,61755,45480,41840,48230,0.858669
2006,1,,,7541,5767,1098,684,58842,30526,20120,8196,7805,5500,5295,4970,17805,17925,11975,10000,5.99,4,58355,0.69,0.61,0.38,61027.1,0.12,0.09,0.04,44875,19555,61695,45225,42800,46085,0.876992
2007,1,,,7697,5900,1164,642,64416,33066,23463,7888,8370,5500,5605,5000,19630,18245,12280,10000,5.95,4,58405,0.69,0.61,0.38,61050,0.12,0.09,0.04,44515,19250,61465,44480,44690,44255,0.906824
2008,1,,,8135,6301,1243,601,75735,41628,26632,7474,9310,6750,6605,5500,20855,19220,12445,10000,5.88,4,58540,0.69,0.61,0.38,61101.8,0.13,0.09,0.04,43630,18760,61420,43430,44610,42370,0.910217
2009,1,,,9522,7458,1401,677,95615,55433,31476,8707,10040,7500,7435,6500,21770,19790,12870,10125,5.74,4,58055,0.67,0.61,0.39,61006.3,0.13,0.09,0.04,41685,17835,60835,41095,45045,39985,0.929017
2010,1,,,10232,7986,1495,771,100746,57548,33330,9869,9845,7500,7205,6500,21650,18985,12805,10000,5.68,4,56455,0.66,0.61,0.39,60887.4,0.13,0.09,0.04,39425,16935,59325,38460,45315,35435,0.941916
2011,1,,,10970,8536,1585,879,110756,62247,36555,11954,10095,7500,7290,6500,22375,19475,13595,10625,5.57,3,55955,0.66,0.61,0.39,60982.2,0.13,0.09,0.04,38650,16605,57900,37675,45130,30725,0.965479
2012,1,,,10383,8222,1494,684,103970,59011,34887,10072,10015,7500,7175,6500,22755,19965,14725,12000,5.34,3,55675,0.67,0.62,0.39,61018.9,0.13,0.09,0.04,38175,15835,56925,37110,44945,34550,0.980216
2013,1,,,9926,7858,1432,652,100362,55921,34234,10206,10110,7500,7115,6500,23315,20430,15645,12715,5.05,3,56220,0.69,0.62,0.38,61216,0.14,0.09,0.04,38545,15670,56400,37460,45325,34700,0.992323
2014,1,,,9573,7495,1430,666,100227,54578,34942,10707,10470,7500,7280,6500,23875,20500,16070,13135,4.67,2,57095,0.71,0.62,0.37,61389.1,0.14,0.09,0.04,39185,15435,56325,38260,44850,32210,1
1970,,1,,11,10,0,0,12,11,1,0,1105,890,1085,890,1590,1335,,,3.63,0,,,,,,,,,,,,,,,0.209694
1971,,1,,13,13,0,0,15,15,0,0,1180,1335,1175,1280,1060,1335,,,3.92,0,,,,,,,,,,,,,,,0.217343
1972,,1,,15,15,1,0,19,18,1,0,1250,1335,1250,1335,1240,1335,,,4.02,0,,,,,,,,,,,,,,,0.224633
1973,,1,,14,14,1,0,18,17,1,0,1270,1335,1265,1335,1225,1335,,,4.89,0,,,,,,,,,,,,,,,0.24199
