full_sample,sel_index,typen,fy,borrowers,mn_earnings,md_earnings,p25_earnings,p75_earnings,mn_tot_inc,md_tot_inc,unemployed,in_pov,near_pov,mn_debt_service,mn_grad2_earnings,mn_grad4_earnings,mn_grad0_earnings,md_debt_service,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad,mn_grad_l,md_grad_l
1,,,1999,10924,41500,33500,18388,51798,51000,37250,0.151,0.235,0.318,3140,28250,42750,32750,2075,13105,6880,9535,6095,28145,16825
1,,,2000,11141,43250,35000,19294,53657,53750,39500,0.146,0.222,0.302,3155,30000,46500,35500,2085,14255,7505,10255,6540,30275,18310
1,,,2001,11348,45000,36750,20125,56162,54750,41250,0.152,0.208,0.285,3290,32750,50000,38000,2160,15610,8240,11100,7105,32990,19930
1,,,2002,11673,43750,36250,19639,55642,53750,40750,0.161,0.217,0.294,3295,32000,49000,37500,2165,16585,8695,11685,7505,34665,20770
1,,,2003,12160,43750,36000,19505,55791,53500,40250,0.169,0.221,0.299,3245,32000,49500,37750,2130,17415,9020,12160,7805,36050,21530
1,,,2004,12811,43750,36000,19542,55945,54000,40250,0.167,0.219,0.297,3190,32000,50000,38000,2085,18075,9310,12485,8040,37045,22370
1,,,2005,13700,43750,35750,19456,55617,54250,40000,0.162,0.217,0.296,3165,32000,50250,38250,2065,18875,9825,12845,8300,38265,23530
1,,,2006,14696,44750,36250,19834,56657,55500,40750,0.158,0.214,0.292,3200,32500,51750,38750,2100,19715,10465,13305,8755,39245,25000
1,,,2007,15539,45250,36500,20025,57189,56250,41250,0.157,0.212,0.29,3235,32500,53000,38500,2135,19970,10760,13495,8990,39125,25465
1,,,2008,16519,46750,37750,20557,59355,57750,42000,0.161,0.21,0.287,3295,33500,55500,39250,2170,20765,11235,13975,9395,40360,26560
1,,,2009,17937,45000,36250,18888,58041,55000,39750,0.182,0.228,0.311,3355,32000,53500,37250,2185,21165,11365,14120,9540,41165,27100
1,,,2010,19469,44500,35250,18123,57330,44500,38750,0.188,0.229,0.316,3450,31500,53250,36250,2225,21865,11595,14500,9880,42655,27760
1,,,2011,21510,44000,34250,17605,56176,53750,37250,0.187,0.239,0.329,3550,30750,52750,35250,2265,22575,11880,15015,10225,43955,28240
1,,,2012,23854,43500,33750,17361,55478,53500,36250,0.183,0.244,0.336,3665,30500,52500,34500,2315,23515,12335,15700,10575,45875,29140
1,,,2013,26179,43000,33250,17263,54893,53000,35750,0.177,0.245,0.34,3795,30500,52250,33750,2380,24615,12885,16510,10990,47975,30200
1,,,2014,28653,43000,33250,17412,54788,51000,34500,0.179,0.256,0.349,3935,31500,52750,32750,2460,25915,13550,17490,11530,50405,31375
,1,,1999,3480,26750,22750,11571,36219,29000,21000,0.244,0.405,0.523,1615,25500,33500,23000,1110,7155,4930,7020,4915,15630,6250
,1,,2000,3414,28000,23750,12155,37863,31000,22250,0.24,0.39,0.506,1590,27250,36250,24750,1100,7515,5080,7350,5065,17395,6700
,1,,2001,3367,29750,25000,12628,39921,32750,24250,0.25,0.365,0.478,1650,29500,38250,26500,1145,8055,5355,7855,5335,19350,7540
,1,,2002,3376,29000,24500,12219,39232,32000,23500,0.267,0.377,0.488,1650,28500,36250,25750,1125,8495,5530,8245,5510,21475,8560
,1,,2003,3450,29000,24750,12374,39500,32000,23250,0.281,0.382,0.492,1620,28250,36250,26000,1065,8860,5670,8565,5650,22945,9460
,1,,2004,3582,29250,24750,12463,39609,32500,23500,0.279,0.378,0.487,1585,28250,36500,26500,1015,9125,5755,8790,5735,23975,10525
,1,,2005,3775,29500,25000,12786,39552,32750,23750,0.27,0.37,0.482,1565,28250,36750,26750,985,9420,5890,9035,5870,25130,12435
,1,,2006,4023,30250,25250,13116,40250,33500,24250,0.259,0.362,0.472,1600,29000,38000,27500,1010,9875,6125,9435,6105,26585,14835
,1,,2007,4274,30250,25250,13170,40157,33750,24250,0.254,0.358,0.473,1650,28750,38500,27500,1040,10175,6295,9685,6270,27345,16900
,1,,2008,4565,31000,25750,13395,41185,34500,24750,0.259,0.353,0.468,1710,29250,39750,28000,1070,10740,6625,10180,6590,29140,18955
,1,,2009,4972,29500,24250,12333,39755,32500,23000,0.291,0.377,0.498,1765,27750,37750,26750,1115,11145,6895,10510,6860,30830,21225
,1,,2010,5483,29000,23500,11873,38798,-4500,22500,0.298,0.377,0.503,1845,27250,37500,25750,1175,11755,7275,11050,7235,32960,23780
,1,,2011,6172,28500,22750,11650,37714,31750,21750,0.291,0.387,0.515,1955,26500,36500,25000,1260,12700,8035,11915,7985,34630,25170
,1,,2012,6909,28500,22750,11829,37561,31750,21500,0.281,0.39,0.52,2085,26500,36000,25250,1365,13765,8605,12875,8550,37195,27500
,1,,2013,7558,28500,22750,12015,37553,32000,21750,0.268,0.387,0.517,2225,26500,35750,25250,1410,14940,9220,13945,9150,39260,29680
,1,,2014,8188,29000,23250,12406,38019,31500,21750,0.262,0.392,0.517,2380,27250,36250,25250,1455,16295,9890,15140,9820,41465,31405
,2,,1999,1253,31750,27500,15388,42405,39250,30250,0.173,0.281,0.388,1940,32000,39000,25750,1080,9095,5155,8225,5075,26020,13055
,2,,2000,1276,33000,28500,15985,43724,41000,31500,0.168,0.271,0.373,1935,34000,42000,27750,1075,9855,5410,8840,5320,28890,15010
,2,,2001,1298,34500,30000,16639,45958,42500,33000,0.179,0.259,0.358,2020,36750,45250,29750,1100,10750,5730,9570,5640,31625,16165
