fy,full_sample,sel_index,typen,new_borrowers,new_undergrad_bor,new_grad_bor,new_parplus_bor,tot_vol,undergrad_loans,grad_loans,parplus_loans,mn_tot_vol,md_tot_vol,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,mn_duration_borrowing,md_duration_borrowing,cpi_adj,age,mn_fam_inc,dependent,female,first_gen,median_hh_inc,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc
1970,1,,,203,190,13,0,242,222,21,0,1195,890,1170,890,1445,1335,,,5.27,1,0.209694,,,,,,,,,,,,,,,
1971,1,,,148,137,11,0,195,179,17,0,1320,1245,1300,1115,1460,1335,,,5.37,1,0.217343,,,,,,,,,,,,,,,
1972,1,,,139,128,11,0,196,179,17,0,1410,1335,1395,1335,1490,1335,,,5.65,1,0.224633,,,,,,,,,,,,,,,
1973,1,,,135,123,12,0,204,181,23,0,1510,1335,1470,1335,1775,1335,,,5.7,1,0.24199,,,,,,,,,,,,,,,
1974,1,,,141,128,13,0,236,207,29,0,1675,1335,1625,1335,1960,1735,,,6.02,1,0.269745,,,,,,,,,,,,,,,
1975,1,,,160,145,15,0,279,245,35,0,1745,1335,1690,1335,2010,1780,,,6.09,2,0.287627,,,,,,,,,,,,,,,
1976,1,,,188,167,21,0,331,282,49,0,1760,1335,1685,1335,2040,1780,,,6.01,2,0.302189,,,,,,,,,,,,,,,
1977,1,,,262,235,28,0,519,436,82,0,1980,1715,1860,1515,2580,2225,,,6.07,2,0.322139,,,,,,,,,,,,,,,
1978,1,,,351,310,40,0,737,600,137,0,2100,1780,1935,1780,2935,2225,,,5.92,2,0.346492,,,,,,,,,,,,,,,
1979,1,,,637,567,70,0,1452,1189,264,0,2280,2225,2095,2225,3275,2740,,,5.61,2,0.381639,,,,,,,,,,,,,,,
1980,1,,,1097,978,119,0,2553,2058,495,0,2330,2225,2105,2225,3520,3760,,,5.31,1,0.42186,,,,,,,,,,,,,,,
1981,1,,,1504,1334,162,8,3694,2968,702,24,2455,2225,2225,2225,3975,4450,2995,2640,5.12,1,0.452594,,,,,,,,,,,,,,,
1982,1,,,1094,982,96,16,2516,2072,401,42,2300,2225,2110,2225,3925,4450,2700,2640,5.17,1,0.474364,,,,,,,,,,,,,,,
1983,1,,,1229,1098,98,33,2832,2332,411,90,2305,2225,2125,2225,4010,4450,2690,2640,5.02,1,0.491878,,,,,,,,,,,,,,,
1984,1,,,1424,1280,103,42,3281,2730,442,108,2305,2225,2135,2225,4130,4450,2575,2640,4.86,1,0.509814,,,,,,,,,,,,,,,
1985,1,,,1607,1459,98,50,3712,3148,435,130,2310,2225,2160,2225,4255,4450,2585,2640,4.65,1,0.528431,,,,,,,,,,,,,,,
1986,1,,,1579,1446,82,50,3562,3077,359,126,2255,2225,2125,2225,4155,4450,2510,2640,4.42,0,0.536539,,,,,,,,,,,,,,,
1987,1,,,1603,1468,72,64,3952,3382,389,180,2465,2225,2305,2225,5170,4450,2805,2640,4.21,0,0.556903,,,,,,,,,,,,,,,
1988,1,,,1749,1564,79,108,4893,4087,477,329,2795,2335,2615,2335,5800,5845,3035,3520,4.03,0,0.580705,,,,,,,,,,,,,,,
1989,1,,,1735,1516,81,139,5112,4147,537,427,2945,2335,2735,2335,6350,6675,3060,3520,3.96,0,0.60299,,,,,,,,,,,,,,,
1990,1,,,1604,1368,85,153,4933,3813,637,483,3075,2625,2785,2625,7210,7500,3165,3520,4.1,1,0.631967,,,,,,,,,,,,,,,
1991,1,,,1604,1343,94,169,5140,3857,743,541,3205,2625,2870,2625,7525,7500,3210,3520,4.23,1,0.648323,,,,,,,,,,,,,,,
1992,1,,,1616,1330,100,188,5344,3909,820,615,3305,2625,2940,2625,7965,7500,3270,3520,4.29,2,0.665147,,,,,,,,,,,,,,,
1993,1,,,1645,1394,104,149,6181,4480,1055,645,3755,2625,3215,2625,9860,7500,4345,4000,4.4,2,0.679709,,,,,,,,,,,,,,,
1994,1,,,1778,1502,123,154,7923,5507,1506,911,4455,2625,3665,2625,11740,9265,5915,4245,4.44,2,0.694281,,,,,,,,,,,,,,,
1995,1,,,1694,1412,120,163,7904,5386,1507,1011,4665,3000,3815,2625,12060,10000,6190,5000,4.32,2,0.707602,,44920,0.57,0.58,0.4,57242.3,0.15,0.11,0.04,33875,15950,54825,35090,19965,39920
1996,1,,,1829,1533,119,178,8615,5917,1560,1137,4710,3000,3860,2625,12760,11595,6405,5000,4.36,2,0.724261,,47185,0.61,0.59,0.39,56557.3,0.14,0.11,0.04,35725,16340,55615,36790,24310,48545
1997,1,,,1821,1521,115,186,8841,6000,1573,1268,4855,3085,3945,2625,13245,11335,6825,5475,4.29,2,0.732323,,48290,0.62,0.59,0.38,57651,0.14,0.1,0.04,36620,17310,56105,37625,24260,47965
1998,1,,,1816,1519,107,191,8772,5951,1492,1330,4830,3000,3915,2625,13410,12055,6980,5600,4.21,3,0.738253,,50820,0.64,0.59,0.38,59235.3,0.13,0.1,0.04,38955,18575,57800,40170,25030,41425
1999,1,,,1795,1504,100,191,8669,5847,1449,1373,4830,2750,3890,2625,14025,13095,7180,5905,4.12,3,0.753413,21,53430,0.65,0.58,0.39,60687.8,0.12,0.09,0.04,40925,18795,59810,42490,23565,40040
