full_sample,sel_index,typen,fy,new_borrower,entered_repayment,paid_off,dur_repay,paid_length
1,,,1970,175,2,0,0,
1,,,1971,131,14,2,.87,1
1,,,1972,125,45,6,1.66,1.69
1,,,1973,124,71,12,2.12,2.32
1,,,1974,132,87,16,2.57,2.87
1,,,1975,150,95,23,3.08,3.61
1,,,1976,178,100,35,3.14,4.15
1,,,1977,249,108,24,3.2,4.64
1,,,1978,334,136,31,2.96,5.32
1,,,1979,608,162,33,2.88,5.58
1,,,1980,1055,210,37,2.82,6.15
1,,,1981,1441,353,57,2.57,6.59
1,,,1982,1047,597,82,2.35,6.83
1,,,1983,1173,836,133,2.53,6.71
1,,,1984,1365,939,152,2.79,6.76
1,,,1985,1552,1095,194,2.89,6.52
1,,,1986,1532,1254,234,2.93,6.49
1,,,1987,1555,1335,302,2.86,6.76
1,,,1988,1702,1587,370,2.63,7.06
1,,,1989,1694,1563,431,2.62,7.29
1,,,1990,1576,1532,565,2.67,7.69
1,,,1991,1579,1410,823,2.88,8.16
1,,,1992,1597,1334,1053,2.99,8.73
1,,,1993,1629,1276,1174,3.21,9.03
1,,,1994,1760,1163,1041,3.37,9.37
1,,,1995,1681,1196,1098,3.41,9.45
1,,,1996,1815,1281,1113,3.52,9.33
1,,,1997,1806,1348,1111,3.67,9.49
1,,,1998,1804,1387,999,3.82,9.45
1,,,1999,1785,1457,1168,3.99,11.02
1,,,2000,1820,1510,1267,4.08,11.26
1,,,2001,1880,1490,1249,4.2,11.13
1,,,2002,2063,1508,1149,4.27,10.74
1,,,2003,2270,1609,1079,4.35,10.94
1,,,2004,2450,1808,1085,4.42,10.98
1,,,2005,2485,2133,1130,4.51,11.28
1,,,2006,2459,2259,1182,4.58,10.89
1,,,2007,2452,2071,1160,4.59,10.99
1,,,2008,2618,2175,1122,4.78,10.93
1,,,2009,3207,2528,1042,4.9,11.14
1,,,2010,3296,2731,1089,4.96,11.1
1,,,2011,3265,3346,1179,5.11,11.28
1,,,2012,2893,3731,1239,5.34,11.37
1,,,2013,2653,3856,1516,5.6,12.12
1,,,2014,2546,4098,1555,5.78,12.07
,1,,1970,8,0,0,0,
,1,,1971,9,2,0,.85,1
,1,,1972,11,4,1,1.43,1.7
,1,,1973,10,7,1,1.64,2.05
,1,,1974,13,8,2,1.93,2.63
,1,,1975,17,9,3,1.98,2.78
,1,,1976,21,12,4,1.84,3.53
,1,,1977,27,14,2,1.8,3.48
,1,,1978,41,19,4,1.68,4.09
,1,,1979,61,24,4,1.74,3.91
,1,,1980,108,33,5,1.75,4.31
,1,,1981,170,57,8,1.66,4.38
,1,,1982,211,111,11,1.52,4.59
,1,,1983,300,166,19,1.57,4.67
,1,,1984,385,206,26,1.52,4.81
,1,,1985,510,282,33,1.54,4.52
,1,,1986,613,372,47,1.54,4.63
,1,,1987,733,470,63,1.55,5.12
,1,,1988,830,712,83,1.46,5.32
,1,,1989,774,726,108,1.38,5.32
,1,,1990,609,721,150,1.46,5.6
,1,,1991,496,587,229,1.65,5.98
,1,,1992,419,474,290,1.8,6.61
,1,,1993,325,387,340,2.06,6.82
,1,,1994,303,293,280,2.09,7.09
,1,,1995,284,266,304,2.19,7.3
,1,,1996,298,260,322,2.3,7.68
,1,,1997,300,259,316,2.35,8.26
,1,,1998,314,256,289,2.55,8.59
,1,,1999,334,268,359,2.59,10.13
,1,,2000,355,287,353,2.59,10.72
,1,,2001,391,295,331,2.68,10.65
,1,,2002,437,317,299,2.66,10.77
,1,,2003,499,357,271,2.88,10.95
,1,,2004,584,417,260,2.96,11.05
,1,,2005,608,498,272,3.02,11.18
,1,,2006,616,545,279,3.27,10.68
,1,,2007,650,545,281,3.3,10.9
,1,,2008,736,581,273,3.36,10.94
,1,,2009,964,685,260,3.44,11.01
,1,,2010,991,814,275,3.43,11.05
,1,,2011,839,1024,292,3.74,11.25
,1,,2012,695,1051,269,4.24,11.26
,1,,2013,601,1006,362,4.78,12.82
,1,,2014,554,995,345,5.28,12.58
,2,,1970,7,0,0,0,
,2,,1971,9,1,0,.76,1
,2,,1972,10,3,0,1.41,1.4
,2,,1973,10,6,1,1.75,2.14
,2,,1974,11,8,1,2.07,2.48
,2,,1975,14,7,2,2.43,3.23
,2,,1976,16,9,3,2.64,3.66
,2,,1977,22,9,2,2.48,3.54
,2,,1978,32,14,3,2.03,3.83
,2,,1979,53,17,3,2.1,4.55
,2,,1980,104,21,3,2.16,4.72
,2,,1981,173,39,6,1.86,5.13
,2,,1982,154,71,8,1.85,5.31
,2,,1983,173,105,15,2.05,5.1
,2,,1984,184,120,19,2.23,5.1
,2,,1985,208,138,27,2.42,5.12
,2,,1986,194,163,30,2.48,5.35
,2,,1987,154,163,39,2.61,5.66
,2,,1988,156,175,51,2.73,6
,2,,1989,159,154,59,2.8,6.55
,2,,1990,149,141,70,2.81,6.87
,2,,1991,164,132,95,2.94,7.45
,2,,1992,177,135,125,2.97,8.08
,2,,1993,186,140,133,2.99,8.5
,2,,1994,204,141,114,3.01,8.71
,2,,1995,197,143,122,3.08,8.76
,2,,1996,208,149,123,3.24,8.87
,2,,1997,213,154,121,3.32,9.04
,2,,1998,210,157,108,3.39,8.92
,2,,1999,191,159,125,3.82,10.62
,2,,2000,197,161,144,3.87,10.79
,2,,2001,201,152,131,4.08,10.59
,2,,2002,246,151,122,4.19,10.39
,2,,2003,288,162,112,4.2,10.31
,2,,2004,314,196,112,4.27,10.45
,2,,2005,329,233,120,4.46,10.75
,2,,2006,327,257,128,4.4,10.34
,2,,2007,332,257,131,4.44,10.41
,2,,2008,362,268,131,4.62,10.28
,2,,2009,479,332,123,4.56,10.63
,2,,2010,518,345,128,4.8,10.31
,2,,2011,580,490,135,4.8,10.7
,2,,2012,559,603,143,4.71,11.1
,2,,2013,498,672,184,4.81,11.7
,2,,2014,419,756,191,5.01,11.52
,3,,1970,44,0,0,0,
,3,,1971,30,3,0,.89,1
,3,,1972,25,11,1,1.7,1.72
,3,,1973,26,15,2,2.29,2.41
,3,,1974,26,16,3,2.77,3
,3,,1975,29,19,4,3.28,3.71
,3,,1976,33,19,6,3.54,4.46
,3,,1977,48,21,5,3.64,5.08
,3,,1978,58,24,6,3.45,5.57
,3,,1979,104,28,6,3.48,6.18
,3,,1980,180,36,7,3.24,6.65
,3,,1981,216,56,10,3.08,7.09
,3,,1982,143,93,15,2.74,7.66
,3,,1983,161,121,22,2.89,7.62
,3,,1984,166,133,26,3.28,7.69
,3,,1985,180,149,34,3.43,7.41
,3,,1986,166,159,38,3.57,7.38
,3,,1987,154,158,49,3.6,7.57
,3,,1988,173,160,52,3.43,7.96
,3,,1989,177,155,61,3.55,8.08
,3,,1990,187,156,79,3.54,8.7
,3,,1991,210,156,110,3.53,9.09
,3,,1992,226,162,135,3.41,9.63
,3,,1993,246,168,146,3.48,9.85
,3,,1994,276,165,143,3.52,10.18
,3,,1995,261,174,145,3.48,10.25
,3,,1996,283,191,149,3.6,10.06
,3,,1997,285,200,144,3.76,10.12
,3,,1998,286,206,125,3.93,9.69
,3,,1999,276,219,142,4.01,11.21
,3,,2000,286,225,159,4.18,11.44
,3,,2001,299,224,156,4.3,11.16
,3,,2002,320,221,146,4.4,10.67
,3,,2003,358,236,140,4.48,10.8
,3,,2004,377,266,147,4.61,10.7
,3,,2005,369,307,152,4.76,10.98
,3,,2006,368,329,160,4.89,10.79
,3,,2007,359,311,161,4.95,10.8
,3,,2008,368,313,156,5.15,10.9
,3,,2009,435,360,144,5.42,11
,3,,2010,448,379,149,5.7,11.31
,3,,2011,484,461,160,5.87,11.48
,3,,2012,422,538,165,5.97,11.69
,3,,2013,395,575,198,6.2,12.55
,3,,2014,389,631,206,6.27,12.38
,4,,1970,53,1,0,0,
,4,,1971,38,4,1,.88,1
,4,,1972,36,13,2,1.72,1.7
,4,,1973,31,21,4,2.19,2.3
,4,,1974,33,25,6,2.77,2.97
,4,,1975,35,26,8,3.28,3.81
,4,,1976,42,26,10,3.42,4.31
,4,,1977,57,27,8,3.5,4.8
,4,,1978,73,30,9,3.34,5.77
,4,,1979,137,35,9,3.22,6.13
,4,,1980,231,45,10,3.11,6.71
,4,,1981,321,75,13,2.83,7.34
,4,,1982,213,116,21,2.61,7.45
,4,,1983,220,160,30,2.86,7.27
,4,,1984,258,176,34,3.25,7.33
,4,,1985,277,204,42,3.46,7.03
,4,,1986,240,218,51,3.63,7.12
,4,,1987,220,215,60,3.66,7.21
,4,,1988,239,223,78,3.65,7.56
,4,,1989,258,218,82,3.71,7.95
,4,,1990,280,216,110,3.78,8.25
,4,,1991,314,227,145,3.66,8.79
,4,,1992,345,236,194,3.59,9.43
,4,,1993,394,247,208,3.68,9.79
,4,,1994,437,240,191,3.78,9.97
,4,,1995,412,268,208,3.73,10.15
,4,,1996,460,292,208,3.86,9.87
,4,,1997,456,312,213,4.04,9.79
,4,,1998,454,328,189,4.15,9.64
,4,,1999,452,354,218,4.37,11.33
,4,,2000,448,364,248,4.48,11.32
,4,,2001,454,356,252,4.64,11.07
,4,,2002,490,353,237,4.73,10.44
,4,,2003,523,375,228,4.92,10.89
,4,,2004,547,413,237,5.01,10.78
,4,,2005,554,477,247,5.17,11.17
,4,,2006,538,502,260,5.22,10.92
,4,,2007,529,448,252,5.31,11.02
,4,,2008,549,473,243,5.55,10.89
,4,,2009,627,535,222,5.84,11.29
,4,,2010,646,551,224,6.04,11.28
,4,,2011,672,658,245,6.15,11.43
,4,,2012,604,753,268,6.27,11.66
,4,,2013,580,793,320,6.42,12.11
,4,,2014,591,864,333,6.41,12.25
,5,,1970,51,0,0,0,
,5,,1971,36,4,1,.88,1
,5,,1972,35,11,2,1.74,1.73
,5,,1973,36,17,4,2.25,2.38
,5,,1974,38,23,4,2.66,2.85
,5,,1975,42,26,7,3.33,3.7
,5,,1976,48,25,10,3.4,4.21
,5,,1977,70,28,7,3.64,4.75
,5,,1978,92,34,8,3.43,5.66
,5,,1979,191,40,9,3.31,5.68
,5,,1980,323,52,9,3.28,6.64
,5,,1981,410,87,15,2.98,7.12
,5,,1982,239,139,20,2.78,7.33
,5,,1983,229,190,33,3.06,7.37
,5,,1984,276,211,35,3.57,7.65
,5,,1985,287,228,44,3.82,7.44
,5,,1986,244,246,51,4.15,7.29
,5,,1987,227,234,69,4.21,7.64
,5,,1988,230,234,80,4.26,8.08
,5,,1989,249,236,88,4.31,8.57
,5,,1990,269,225,113,4.42,9.02
,5,,1991,303,235,177,4.45,9.6
,5,,1992,332,249,220,4.23,10.09
,5,,1993,376,251,243,4.34,10.58
,5,,1994,419,241,224,4.57,10.88
,5,,1995,408,256,235,4.43,10.96
,5,,1996,448,289,225,4.43,10.65
