fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,fst_sel_index1,fst_sel_index2,fst_sel_index3,fst_sel_index4,fst_sel_index5,fst_sel_index6,lst_sel_index1,lst_sel_index2,lst_sel_index3,lst_sel_index4,lst_sel_index5,lst_sel_index6,fst_typen1,fst_typen2,fst_typen3,fst_typen4,fst_typen5,fst_typen6,lst_typen1,lst_typen2,lst_typen3,lst_typen4,lst_typen5,lst_typen6,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,graduated,grad2,grad4,i_cdr2,i_cdr3,i_cdr5,alt_cdr2,alt_cdr3,alt_cdr5,alt_cdr2_f,alt_cdr2_dnf,rr2,rr5,neg_am2,neg_am5,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,age_entry,cpi_adj
1970,1,,,2,2,0,0,0,0.169,0.056,0.124,0.416,0.157,0.079,0.157,0.056,0.135,0.416,0.146,0.09,0.135,0.034,0.045,0.472,0.011,0.303,0.135,0.022,0.045,0.506,0.011,0.281,2,2,0,0,1085,885,1060,875,1195,1295,,,1310,1290,1330,1540,1540,1500,1.483,0,,,,0.101,0.112,0.124,0.112,0.112,0.146,,,0.842,0.56,0,0.011,,,,,,,,,,,,,,,0.209694
1971,1,,,13,11,1,0,0,0.12,0.058,0.202,0.264,0.258,0.098,0.112,0.066,0.216,0.256,0.246,0.104,0.09,0.03,0.042,0.472,0.016,0.35,0.082,0.03,0.046,0.478,0.02,0.344,14,12,2,0,1110,865,1070,865,1285,1015,,,1285,1255,1310,2190,2140,2525,1.748,0,,,,0.074,0.086,0.138,0.082,0.102,0.158,,,0.843,0.556,0.012,0.022,,,,,,,,,,,,,,,0.217343
1972,1,,,40,37,3,1,0,0.093,0.065,0.248,0.282,0.233,0.078,0.094,0.063,0.245,0.28,0.235,0.084,0.075,0.019,0.045,0.472,0.02,0.369,0.075,0.02,0.042,0.468,0.021,0.374,49,44,5,0,1240,1025,1200,905,1450,1280,,,1320,1320,1335,2145,2070,2375,2.184,0,,,,0.071,0.091,0.152,0.08,0.106,0.162,,,0.841,0.551,0.015,0.032,,,,,,,,,,,,,,,0.224633
1973,1,,,62,57,5,1,0,0.099,0.083,0.22,0.283,0.233,0.082,0.1,0.082,0.211,0.285,0.233,0.089,0.084,0.015,0.067,0.46,0.016,0.358,0.084,0.016,0.066,0.461,0.016,0.357,99,89,11,0,1590,1305,1545,1295,1755,1295,,,2145,2095,2500,2635,2620,3110,2.243,0,,,,0.111,0.143,0.196,0.133,0.161,0.199,,,0.841,0.555,0.021,0.038,,,,,,,,,,,,,,,0.24199
1974,1,,,77,70,7,2,0,0.096,0.089,0.196,0.273,0.262,0.084,0.097,0.087,0.181,0.276,0.255,0.104,0.083,0.014,0.068,0.45,0.021,0.365,0.084,0.013,0.066,0.453,0.021,0.363,148,129,19,0,1920,1640,1840,1500,2130,1550,,,2590,2575,2880,3600,3435,3890,3.194,0,,,,0.131,0.176,0.211,0.155,0.187,0.216,,,0.841,0.556,0.028,0.047,,,,,,,,,,,,,,,0.269745
1975,1,,,84,77,7,3,0,0.095,0.081,0.211,0.263,0.265,0.085,0.095,0.077,0.186,0.269,0.263,0.11,0.084,0.011,0.062,0.462,0.018,0.362,0.085,0.01,0.059,0.469,0.018,0.359,183,157,25,0,2170,1740,2050,1705,2420,2120,,,2985,2640,3385,4010,3880,4465,3.049,0,,,,0.11,0.148,0.179,0.135,0.157,0.183,,,0.841,0.553,0.031,0.054,,,,,,,,,,,,,,,0.287627
1976,1,,,87,79,8,3,0,0.125,0.091,0.197,0.258,0.243,0.087,0.123,0.085,0.172,0.262,0.248,0.11,0.114,0.011,0.07,0.43,0.021,0.353,0.111,0.012,0.063,0.441,0.021,0.351,202,174,28,0,2315,1745,2190,1705,2560,2135,,,3005,2795,3365,4620,4265,5180,3.338,0,,,,0.119,0.171,0.212,0.149,0.188,0.214,,,0.841,0.553,0.081,0.108,,,,,,,,,,,,,,,0.302189
1977,1,,,100,90,9,5,0,0.136,0.08,0.195,0.239,0.259,0.091,0.135,0.079,0.169,0.242,0.251,0.124,0.119,0.018,0.058,0.431,0.021,0.352,0.118,0.018,0.058,0.432,0.02,0.354,241,204,37,0,2420,1740,2260,1705,2675,2125,,,3270,2985,3660,5025,4550,5580,3.17,0,,,,0.119,0.175,0.21,0.153,0.188,0.216,,,0.841,0.551,0.098,0.122,,,,,,,,,,,,,,,0.322139
1978,1,,,129,116,13,8,0,0.142,0.104,0.176,0.219,0.253,0.106,0.142,0.098,0.144,0.225,0.244,0.148,0.124,0.019,0.079,0.408,0.025,0.345,0.122,0.019,0.076,0.412,0.023,0.348,331,267,65,0,2570,1885,2310,1730,3005,2160,,,3425,3005,3865,5185,4665,6185,3.206,0,,,,0.098,0.142,0.171,0.126,0.151,0.175,,,0.841,0.551,0.084,0.102,,,,,,,,,,,,,,,0.346492
1979,1,,,155,139,16,12,0,0.15,0.107,0.177,0.217,0.245,0.105,0.148,0.104,0.144,0.22,0.234,0.15,0.122,0.028,0.081,0.403,0.025,0.34,0.121,0.027,0.079,0.405,0.025,0.343,438,346,92,0,2820,2145,2485,2085,3345,2225,,,3720,3350,4320,5740,4825,6495,3.317,0,,,,0.096,0.126,0.15,0.112,0.133,0.154,,,0.841,0.55,0.065,0.083,,,,,,,,,,,,,,,0.381639
